timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1500041893087,0,32,7.03125E-6,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893087,0,56,1.23046875E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893088,0,103,2.26318359375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893088,0,-125,-2.74658203125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893089,0,100,2.197265625E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893089,0,66,1.4501953125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893090,0,76,1.669921875E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893090,0,123,2.70263671875E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893091,0,-105,-2.30712890625E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893091,0,122,2.6806640625E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893092,0,88,1.93359375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893093,0,102,2.2412109374999998E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893093,0,-108,-2.3730468750000002E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893093,0,-89,-1.95556640625E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893094,0,-125,-2.74658203125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893094,0,80,1.7578125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893095,0,72,1.58203125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893095,0,117,2.5708007812499998E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893095,0,-101,-2.2192382812500002E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893096,0,-111,-2.43896484375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893096,0,99,2.1752929687500003E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893096,0,87,1.91162109375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893096,0,124,2.724609375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893097,0,-85,-1.86767578125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893097,0,-92,-2.021484375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893098,0,112,2.4609375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893099,0,82,1.8017578124999998E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893099,0,96,2.109375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893099,0,124,2.724609375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893099,0,-128,-2.8125E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893100,0,92,2.021484375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893100,0,68,1.4941406250000001E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893103,0,64,1.40625E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
1500041893104,0,70,1.5380859375E-5,57,57,46,198630,28283,19634,8372,18433,4114,2162,1562,Tag0,unknown
