timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1499247499997,0,40,8.7890625E-6,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247499998,0,0,0.0,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247499998,0,-259,-5.69091796875E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247499998,0,35,7.6904296875E-6,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247499999,0,70,1.5380859375E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247499999,0,69,1.51611328125E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247499999,0,58,1.2744140625E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500000,0,66,1.4501953125E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500000,0,74,1.6259765625E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500000,0,82,1.8017578124999998E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500001,0,90,1.9775390625E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500001,0,123,2.70263671875E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500001,0,-109,-2.39501953125E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500001,0,-124,-2.724609375E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500002,0,-120,-2.63671875E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
1499247500002,0,-105,-2.30712890625E-5,47,91,73,410272,254275,71004,16140,10990,16748508,9377,1493,Tag0,unknown
